goal_id,employee_id,goal_type,goal_description,set_date,due_date,target_value,achieved_value,achievement_pct,status,quarter,department,priority
GOAL906765,EMP002920,Team Building,Achieve team building target for the period,2021/06/09,2021/11/08,545632.24,251989.92,46.2%,,Q4 2021,Eng,Medium
GOAL948959,EMP019776,Quality Improvement,Achieve quality improvement target for the period,11-15-2022,2023-02-08,728649.73,245353.07,33.7%,,Q3 2021,PROCUREMENT,
GOAL749628,EMP010072,Process Improvement,,06/11/2021,"January 23, 2022",898298.17,325408.12,36.2%,,Q3 2023,Operatons,
GOAL831553,EMP008899,Team Building,Achieve team building target for the period,2021/04/06,2021-07-14,869776.34,623292.6,,Overdue,q2 2024,customer support,High
GOAL934455,EMP019036,PROJECT DELIVERY,,17/10/2022,02-10-2023,734340.16,,75.4%,in progress,Q2 2022,HR,MEDIUM
GOAL155252,EMP004499,Skill Development,Achieve skill development target for the period,26/02/2022,,669616.61,,36.6%,,Q12022,ADMIN,N/A
GOAL592474,EMP016710,Skill Development,Achieve skill development target for the period,10 Aug 2023,"December 29, 2023",937173.3,1150561.87,122.8%,N/A,Q4 2022,I.T.,N/A
GOAL611128,EMP014909,Project Delivery,,2021/05/23,2021/10/02,300683.97,286071.01,95.1%,overdue,Q2-2023,IT,Medium
GOAL770481,EMP006814,Compliance,Achieve compliance target for the period,2022-10-19,28 Nov 2022,319205.73,432385.9,135.5%,cancelled,Q2 2024,admin,Medium
GOAL772573,EMP013150,Productivity,Achieve productivity target for the period,08-14-2023,2024-02-01,801300.18,452711.03,56.5%,Cancelled,Q3 2024,Fin,LOW
GOAL815220,EMP005850,Productivity,Achieve productivity target for the period,"February 06, 2022",2022/05/05,900619.9,610396.05,67.8%,Cancelled,Q1 2021,Human Resource,Low
GOAL878022,EMP018486,Customer Satisfaction,Achieve customer satisfaction target for the period,"December 25, 2021",22 Apr 2022,259639.81,340310.15,131.1%,N/A,2022 Q1,Marketing,
GOAL950085,EMP015942,Quality Improvement,Achieve quality improvement target for the period,25/01/2021,08/04/2021,148819.72,123173.88,82.8%,In Progress,Q1 2022,Cust Support,LOW
GOAL363848,EMP011705,Revenue Growth,Achieve revenue growth target for the period,2021-11-22,16 May 2022,,1071638.22,130.9%,cancelled,Q2-2023,Administration,high
GOAL961272,EMP017714,Project Delivery,,04-20-2022,2022-06-26,317154.63,334405.36,105.4%,Completed,2023-Q3,admin,LOW
GOAL881787,EMP003985,TEAM BUILDING,Achieve team building target for the period,12-19-2021,28 May 2022,221824.4,117358.99,52.9%,in progress,Q12022,HR,LOW
GOAL460584,EMP016774,Quality Improvement,Achieve quality improvement target for the period,05-17-2022,2022/07/18,575010.2,411208.66,71.5%,cancelled,,ENGINEERING,LOW
GOAL557577,EMP914744,Customer Satisfaction,Achieve customer satisfaction target for the period,09-19-2021,07/12/2021,186859.9,124586.96,66.7%,completed,Q4 2021,Procurment,LOW
GOAL396082,EMP002080,Process Improvement,Achieve process improvement target for the period,2021/07/27,09/12/2021,795024.8,237247.04,29.8%,completed,Q2 2021,H.R.,high
GOAL516775,EMP010723,Quality Improvement,Achieve quality improvement target for the period,2021-03-26,2021/05/18,337223.88,208381.1,61.8%,in progress,Q1 2021,HR,N/A
GOAL885906,EMP012547,Cost Reduction,Achieve cost reduction target for the period,28 Oct 2021,21/03/2022,51410.02,,86.2%,Cancelled,Q12022,Law,Low
GOAL577013,EMP004938,Team Building,Achieve team building target for the period,2022/04/12,,957273.24,742628.53,77.6%,cancelled,Q3 2023,Fin,High
GOAL804864,EMP003272,Sales Target,,19/12/2022,15 Mar 2023,864803.56,1201301.56,138.9%,Completed,q3 2022,Sale,
GOAL209621,EMP968523,Productivity,Achieve productivity target for the period,2022-05-02,"June 22, 2022",363441.09,342952.7,94.4%,In Progress,Q3 2024,FINANCE,LOW
GOAL500803,EMP010692,Cost Reduction,Achieve cost reduction target for the period,"February 03, 2024",2024/06/13,555371.57,152991.47,,overdue,Q1 2023,Cust Support,LOW
GOAL249192,EMP015137,Customer Satisfaction,Achieve customer satisfaction target for the period,04-20-2021,24 Jul 2021,454779.84,176731.09,38.9%,overdue,Q1 2023,Proc,
GOAL544822,EMP000255,Cost Reduction,Achieve cost reduction target for the period,2021-05-12,,276580.81,336106.45,121.5%,In Progress,Q12022,human resources,
GOAL610746,EMP015868,Training Completion,Achieve training completion target for the period,06/03/2023,"June 15, 2023",351277.42,363918.35,103.6%,Completed,Q3 2023,H.R.,Medium
GOAL787766,EMP012242,Revenue Growth,Achieve revenue growth target for the period,2023-06-15,22 Sep 2023,582401.34,,84.5%,In Progress,Q1 2023,H.R.,High
GOAL273976,EMP016948,Cost Reduction,Achieve cost reduction target for the period,18 Mar 2023,2023/08/04,648358.9,432496.53,66.7%,cancelled,Q4 2022,Research & Dev,LOW
GOAL553997,EMP016878,Cost Reduction,Achieve cost reduction target for the period,2024/01/12,"June 20, 2024",713046.26,330265.91,46.3%,N/A,q2 2024,MARKETING,Medium
GOAL411179,EMP018978,Revenue Growth,Achieve revenue growth target for the period,09 Feb 2022,"July 26, 2022",491401.99,392991.93,,Overdue,Q2 2023,Cust Support,N/A
GOAL649972,EMP017872,INNOVATION,Achieve innovation target for the period,03-03-2021,2021-07-06,576353.68,382354.88,66.3%,N/A,Q4 2023,Cust Support,Low
GOAL942199,EMP001731,Process Improvement,Achieve process improvement target for the period,17 Oct 2021,,489986.84,152025.75,31.0%,N/A,2023-Q3,Human Resource,Low
GOAL114482,EMP001092,Compliance,Achieve compliance target for the period,29/11/2022,02-24-2023,288216.54,190431.98,66.1%,completed,,customer support,LOW
GOAL229500,EMP010643,Productivity,Achieve productivity target for the period,"June 06, 2023",2023/10/09,131786.39,176609.43,134.0%,Completed,Q3 2022,Customer Support,high
GOAL169759,EMP018655,Productivity,Achieve productivity target for the period,2021-06-06,2021/09/28,133640.2,83115.83,62.2%,Cancelled,Q2 2021,Info Tech,Low
GOAL941920,EMP011211,Cost Reduction,Achieve cost reduction target for the period,2021/09/22,19/03/2022,471407.41,284104.76,60.3%,overdue,Q4 2021,Admin,LOW
GOAL594061,EMP016026,Cost Reduction,Achieve cost reduction target for the period,25 Jan 2024,2024-04-01,102460.2,97968.63,95.6%,Cancelled,Q3 2021,R&D,LOW
GOAL407169,EMP003349,Quality Improvement,Achieve quality improvement target for the period,09/12/2022,2023/03/18,696669.66,761229.47,109.3%,Cancelled,Q2 2022,Procurement,high
GOAL893243,EMP016418,Customer Satisfaction,Achieve customer satisfaction target for the period,2023/08/11,2023-10-15,887367.35,,32.1%,In Progress,Q4 2022,RnD,high
GOAL884959,EMP001469,Training Completion,Achieve training completion target for the period,2023/01/09,03/07/2023,644923.66,858064.9,133.0%,Overdue,Q2 2022,admin,high
GOAL377692,EMP014418,TEAM BUILDING,Achieve team building target for the period,06 Jun 2022,11/10/2022,813800.07,805601.62,99.0%,In Progress,Q2 2022,Engineering,
GOAL581988,EMP012176,Compliance,Achieve compliance target for the period,25 Nov 2022,24 May 2023,830018.62,1155494.6,139.2%,In Progress,2023-Q3,Admin,LOW
GOAL345134,EMP015389,Training Completion,Achieve training completion target for the period,06 Aug 2022,11-17-2022,884446.02,1026738.35,116.1%,completed,Q4 2021,Legal,
GOAL742047,EMP014643,Process Improvement,Achieve process improvement target for the period,2022-11-20,2023/03/16,904829.5,409235.27,45.2%,N/A,2023-Q3,Sale,Low
GOAL648709,EMP007071,Innovation,Achieve innovation target for the period,11-18-2022,"January 15, 2023",364032.34,100798.76,27.7%,Completed,Q1 2022,Administraton,
GOAL892626,EMP018300,Skill Development,Achieve skill development target for the period,2022-12-14,10 May 2023,218065.27,219345.6,,completed,2023-Q3,Operatons,
GOAL884564,EMP007118,Training Completion,Achieve training completion target for the period,07/03/2021,2021/08/12,463944.75,114473.48,24.7%,Cancelled,Q1 2023,human resources,MEDIUM
GOAL943318,EMP008658,Process Improvement,Achieve process improvement target for the period,09 Oct 2022,03-18-2023,567184.99,556042.4,98.0%,Completed,Q2-2023,Operatons,MEDIUM
GOAL870429,EMP005637,COST REDUCTION,Achieve cost reduction target for the period,17 Jun 2022,13 Sep 2022,59844.36,49504.43,82.7%,in progress,Q12022,Proc,Medium
GOAL485197,EMP014156,Innovation,Achieve innovation target for the period,2021-04-16,06-29-2021,52113.13,68965.87,132.3%,In Progress,Q2 2023,Sales,Low
GOAL575982,EMP008326,Revenue Growth,Achieve revenue growth target for the period,2024/02/04,16 Mar 2024,301606.37,,83.2%,cancelled,Q1 2022,MARKETING,High
GOAL426541,EMP013490,Team Building,Achieve team building target for the period,2023-03-19,"July 02, 2023",383775.22,283927.93,74.0%,In Progress,2023-Q3,RnD,MEDIUM
GOAL688642,EMP000464,Skill Development,,"September 15, 2023",01 Dec 2023,556570.95,,24.6%,Overdue,,PROCUREMENT,Low
GOAL759044,EMP019097,Sales Target,Achieve sales target target for the period,10/02/2021,07-09-2021,71406.22,28198.34,,Cancelled,Q1 2024,Fiance,N/A
GOAL945257,EMP008211,Project Delivery,Achieve project delivery target for the period,16/08/2021,12-04-2021,952567.11,851521.35,89.4%,In Progress,Q3 2024,H.R.,MEDIUM
GOAL340430,EMP005256,Compliance,Achieve compliance target for the period,12-09-2023,2024/06/02,871344.57,701691.63,80.5%,completed,Q1 2024,marketing,Medium
GOAL576546,EMP018880,Skill Development,,07-06-2023,"November 16, 2023",687960.85,558828.81,,N/A,q2 2024,operations,
GOAL596066,EMP004909,Sales Target,Achieve sales target target for the period,01-31-2021,05-15-2021,140292.28,,,in progress,Q3 2021,sales,Low
GOAL245670,EMP000974,Cost Reduction,Achieve cost reduction target for the period,2021/12/12,2022-06-05,,649727.14,94.5%,,Q3 2022,customer support,LOW
GOAL421187,EMP017777,Process Improvement,Achieve process improvement target for the period,08-11-2022,12 Jan 2023,218440.08,108362.61,49.6%,Overdue,Q2 2023,Enginering,MEDIUM
GOAL696180,EMP002811,Team Building,Achieve team building target for the period,2023-05-24,14 Aug 2023,621504.3,429034.1,69.0%,completed,Q2 2023,Admin,LOW
GOAL899673,EMP006825,Customer Satisfaction,Achieve customer satisfaction target for the period,04-26-2021,2021/07/08,599951.59,521314.33,86.9%,cancelled,2023-Q3,Procurment,High
GOAL852949,EMP007601,Sales Target,Achieve sales target target for the period,"January 20, 2024",2024-06-06,421074.76,448499.81,106.5%,in progress,Q2 2024,Customer Support,Medium
GOAL356998,EMP003159,Skill Development,Achieve skill development target for the period,2024/02/05,2024-03-28,986972.47,795531.31,80.6%,N/A,Q4 2023,procurement,MEDIUM
GOAL887812,EMP016762,Innovation,Achieve innovation target for the period,29/10/2023,05 Mar 2024,62945.26,33135.93,52.6%,in progress,Q2-2023,H.R.,High
GOAL949502,EMP006787,INNOVATION,Achieve innovation target for the period,06-18-2022,"September 07, 2022",681305.66,296233.38,43.5%,Cancelled,2022 Q1,LEGAL,high
GOAL326716,EMP013141,Productivity,Achieve productivity target for the period,04 Aug 2023,2023/09/04,412704.0,434587.57,105.3%,N/A,2023-Q3,Customer service,Low
GOAL230047,EMP011647,Quality Improvement,Achieve quality improvement target for the period,"May 16, 2021",17 Aug 2021,885025.48,598068.11,67.6%,cancelled,Q2 2021,RnD,high
GOAL579659,EMP014207,Quality Improvement,Achieve quality improvement target for the period,"October 29, 2021",,970747.51,445679.56,45.9%,Completed,Q2 2022,PROCUREMENT,Low
GOAL548937,EMP012531,Training Completion,Achieve training completion target for the period,"July 22, 2023",23 Dec 2023,270005.36,,123.0%,completed,q2 2024,Proc,LOW
GOAL660451,EMP002978,Innovation,Achieve innovation target for the period,06-06-2021,13/08/2021,485115.56,103146.94,21.3%,in progress,Q4 2021,Legel,N/A
GOAL926536,EMP010719,Skill Development,Achieve skill development target for the period,2021-09-15,12-19-2021,797343.34,642208.41,80.5%,overdue,,Customer Support,Low
GOAL639803,EMP019375,Innovation,Achieve innovation target for the period,2021/10/21,30/01/2022,799270.52,211207.25,26.4%,Cancelled,Q4 2021,Legal,N/A
GOAL535341,EMP005842,COST REDUCTION,Achieve cost reduction target for the period,2023/07/02,10-26-2023,140165.65,181653.34,129.6%,In Progress,Q12022,finance,N/A
GOAL444905,EMP005447,Customer Satisfaction,Achieve customer satisfaction target for the period,2023-01-08,06 Jul 2023,72356.09,88021.17,121.6%,N/A,Q3 2022,procurement,MEDIUM
GOAL683992,EMP006669,Innovation,Achieve innovation target for the period,23 Dec 2021,06-10-2022,964796.23,674539.48,69.9%,,2022 Q1,ENGINEERING,high
GOAL784023,EMP969944,Quality Improvement,Achieve quality improvement target for the period,30 Nov 2023,23/04/2024,364933.62,90808.75,24.9%,Overdue,Q1 2022,SALES,Low
GOAL151911,EMP002508,Cost Reduction,Achieve cost reduction target for the period,18 Jun 2021,01/10/2021,158695.44,39257.31,24.7%,in progress,Q2-2023,procurement,N/A
GOAL740726,EMP002560,Compliance,Achieve compliance target for the period,2021/11/13,2021/12/20,671897.95,921157.85,137.1%,Completed,Q3 2022,Marketting,MEDIUM
GOAL420723,EMP014326,Skill Development,Achieve skill development target for the period,2024-01-10,2024-04-30,405595.86,85824.89,21.2%,Cancelled,2022 Q1,Marketting,
GOAL756265,EMP017162,Customer Satisfaction,,2021-10-05,2022-01-21,155226.79,,,Cancelled,Q1 2021,Engineering,high
GOAL444001,EMP000946,Revenue Growth,Achieve revenue growth target for the period,"November 08, 2023",13 Dec 2023,,,22.2%,Overdue,2022 Q1,HR,LOW
GOAL659168,EMP013822,Quality Improvement,Achieve quality improvement target for the period,"November 26, 2023",10 Mar 2024,908549.03,597409.68,65.8%,completed,Q3 2023,Ops,N/A
GOAL275055,EMP008276,Team Building,Achieve team building target for the period,2022-11-26,2023/04/23,292131.04,112551.7,38.5%,In Progress,Q2 2023,Ops,LOW
GOAL171641,EMP010266,Sales Target,Achieve sales target target for the period,08 Apr 2023,,950582.96,549692.8,57.8%,Overdue,Q4 2023,Marketting,High
GOAL865129,EMP004970,Cost Reduction,Achieve cost reduction target for the period,12 Oct 2023,09 Feb 2024,536181.0,285646.17,53.3%,N/A,Q4 2023,Ops,high
GOAL271777,EMP019661,Skill Development,Achieve skill development target for the period,01 Jul 2022,08-19-2022,727951.32,1007785.64,138.4%,Cancelled,q2 2024,customer support,MEDIUM
GOAL497927,EMP000341,Training Completion,Achieve training completion target for the period,18/07/2023,18 Nov 2023,484981.23,297872.7,61.4%,Completed,Q2 2021,HR,Medium
GOAL954973,EMP011669,Process Improvement,Achieve process improvement target for the period,07-09-2022,09-28-2022,926737.13,,127.8%,overdue,2023-Q3,customer support,MEDIUM
GOAL240329,EMP970780,Quality Improvement,Achieve quality improvement target for the period,09-05-2022,2022/10/10,345323.4,375057.64,108.6%,Completed,Q1 2021,Finance,MEDIUM
GOAL270097,EMP001529,Process Improvement,Achieve process improvement target for the period,14 Jul 2021,25/09/2021,781712.05,637033.75,,in progress,Q1 2024,Legal,Low
GOAL986899,EMP002507,Compliance,Achieve compliance target for the period,2021/04/04,2021/08/02,294016.65,295049.28,100.4%,in progress,,PROCUREMENT,LOW
GOAL835762,EMP015181,Customer Satisfaction,Achieve customer satisfaction target for the period,17 Jul 2023,11-21-2023,423493.2,96344.84,22.8%,completed,Q12022,Info Tech,High
GOAL158703,EMP006947,Compliance,Achieve compliance target for the period,2022/06/28,10-10-2022,191411.37,146093.55,76.3%,In Progress,2023-Q3,Admin,Low
GOAL361852,EMP003044,Skill Development,Achieve skill development target for the period,2022-03-04,2022-08-29,476356.27,635673.92,133.4%,completed,Q12022,Marketing,High
GOAL659040,EMP008315,Quality Improvement,Achieve quality improvement target for the period,"April 20, 2021",10-12-2021,107609.51,139895.11,,cancelled,Q2 2023,Customer service,N/A
GOAL513532,EMP012132,Revenue Growth,Achieve revenue growth target for the period,"February 20, 2022","June 08, 2022",898250.65,333298.98,37.1%,completed,Q4 2021,OPERATIONS,
GOAL287032,EMP011726,Project Delivery,Achieve project delivery target for the period,"July 02, 2021",2021-11-20,375741.05,359063.95,95.6%,in progress,Q4 2022,Procurement,high
GOAL603687,EMP000322,Skill Development,Achieve skill development target for the period,2022/11/15,2023-01-09,599403.11,797341.81,,completed,Q4 2021,Humaan Resources,
GOAL132380,EMP019913,Customer Satisfaction,Achieve customer satisfaction target for the period,"May 01, 2021",06-17-2021,326187.82,443867.64,136.1%,Overdue,Q1 2021,Procurment,Medium
GOAL764132,EMP016000,Skill Development,Achieve skill development target for the period,04 Nov 2022,2023/03/10,344266.0,470591.03,136.7%,N/A,Q2-2023,sales,Medium
GOAL616305,EMP010657,Innovation,,2021/03/18,03 Aug 2021,902968.2,1021513.73,113.1%,Overdue,Q4 2021,human resources,Medium
GOAL611906,EMP009478,Productivity,Achieve productivity target for the period,30/10/2021,2022-04-05,872552.87,,108.1%,,Q1 2022,SALES,N/A
GOAL455812,EMP012259,Training Completion,Achieve training completion target for the period,07-19-2022,2022/10/15,274202.98,295176.36,107.6%,Cancelled,Q3 2022,it,N/A
GOAL835337,EMP011385,Team Building,Achieve team building target for the period,07 Feb 2022,27/03/2022,516870.55,682338.09,132.0%,,Q1 2021,Finance,high
GOAL830748,EMP006580,Compliance,Achieve compliance target for the period,02 Feb 2024,2024-05-17,660315.44,,117.0%,completed,2022 Q1,Legal,Medium
GOAL729220,EMP001309,Quality Improvement,Achieve quality improvement target for the period,03 Oct 2023,2024/02/10,970176.46,957915.24,98.7%,in progress,Q12022,Cust Support,
GOAL535227,EMP006743,Compliance,Achieve compliance target for the period,2023-02-18,2023/05/27,,,63.7%,Overdue,Q4 2023,Humaan Resources,N/A
GOAL407164,EMP993524,Sales Target,Achieve sales target target for the period,08/10/2021,04-01-2022,875082.17,615757.54,70.4%,completed,Q4 2023,OPERATIONS,MEDIUM
GOAL745844,EMP016522,Quality Improvement,Achieve quality improvement target for the period,05-05-2021,,928680.05,,124.0%,Overdue,Q2-2023,CS,LOW
GOAL676715,EMP010299,Training Completion,Achieve training completion target for the period,"October 14, 2021",2022-01-30,820653.36,693974.18,84.6%,completed,2023-Q3,H.R.,Low
GOAL722210,EMP019256,PROCESS IMPROVEMENT,Achieve process improvement target for the period,"March 28, 2022",09-13-2022,602713.19,557825.1,92.6%,In Progress,Q3 2021,R&D,Low
GOAL123524,EMP004046,Project Delivery,Achieve project delivery target for the period,08/10/2023,,882256.81,668112.19,75.7%,N/A,Q2 2021,Legel,N/A
GOAL894695,EMP008975,TEAM BUILDING,Achieve team building target for the period,2022-08-17,11-01-2022,294505.93,,21.7%,Completed,Q2 2022,Cust Support,
GOAL425628,EMP003109,Productivity,Achieve productivity target for the period,01/02/2021,05-20-2021,,421846.67,48.1%,overdue,Q2 2024,legal,MEDIUM
GOAL180477,EMP005786,Innovation,Achieve innovation target for the period,04 Apr 2021,07-10-2021,141184.83,59347.74,42.0%,In Progress,,Procurment,high
GOAL925536,EMP011857,Compliance,Achieve compliance target for the period,"August 01, 2023",2023/11/04,140765.46,72614.29,51.6%,Completed,Q2 2024,Information Technology,N/A
GOAL726431,EMP017112,Compliance,Achieve compliance target for the period,19/10/2022,20 Jan 2023,271866.59,332064.79,122.1%,Overdue,Q4 2022,Slaes,Medium
GOAL652759,EMP013739,Skill Development,Achieve skill development target for the period,2023-01-26,09/04/2023,322539.7,435053.86,134.9%,cancelled,Q1 2022,Sale,
GOAL136873,EMP016554,Innovation,Achieve innovation target for the period,06/01/2022,19/02/2022,386000.26,517327.7,,Cancelled,q2 2024,Sale,high
GOAL604333,EMP009834,Productivity,Achieve productivity target for the period,"February 06, 2023",,101713.62,68966.03,67.8%,N/A,Q12022,Sales,N/A
GOAL400800,EMP006173,Team Building,Achieve team building target for the period,"April 18, 2023",05-30-2023,839684.51,382617.56,45.6%,N/A,Q1 2022,HR,MEDIUM
GOAL324749,EMP004402,Productivity,Achieve productivity target for the period,12-14-2021,11/04/2022,469188.34,,132.0%,Cancelled,2022 Q1,Info Tech,Medium
GOAL825132,EMP017615,Cost Reduction,Achieve cost reduction target for the period,"October 06, 2022",03-18-2023,404230.11,517577.61,128.0%,Completed,Q2-2023,PROCUREMENT,N/A
GOAL305396,EMP015009,Sales Target,Achieve sales target target for the period,01/09/2021,20/11/2021,148048.02,193870.4,131.0%,In Progress,Q3 2023,SALES,N/A
GOAL855478,EMP001963,TEAM BUILDING,Achieve team building target for the period,01-07-2021,02/03/2021,344582.43,365395.24,106.0%,completed,Q1 2023,customer support,
GOAL896148,EMP017310,Compliance,Achieve compliance target for the period,19/09/2023,23/01/2024,426349.69,595281.31,139.6%,In Progress,Q2 2023,customer support,N/A
GOAL965660,EMP015271,Productivity,Achieve productivity target for the period,11-02-2023,2024-01-08,921020.97,1118889.46,121.5%,cancelled,2022 Q1,Customer Support,
GOAL116161,EMP010177,Sales Target,Achieve sales target target for the period,"January 10, 2023",,268167.39,,54.9%,cancelled,Q3 2023,HR,Medium
GOAL776639,EMP009968,Productivity,Achieve productivity target for the period,"July 10, 2022",21 Aug 2022,65738.11,33786.66,51.4%,overdue,Q1 2022,Engineerng,High
GOAL875670,EMP010479,Revenue Growth,Achieve revenue growth target for the period,2021-12-29,2022-02-25,,481065.7,73.4%,Cancelled,Q1 2024,admin,N/A
GOAL728099,EMP011740,Revenue Growth,Achieve revenue growth target for the period,09 Sep 2021,2021-10-15,364236.45,457718.95,125.7%,completed,Q4 2021,R&D,LOW
GOAL287418,EMP013811,Productivity,Achieve productivity target for the period,"November 07, 2021","April 28, 2022",105491.58,137218.0,130.1%,Overdue,Q2 2022,RnD,High
GOAL761282,EMP019548,Process Improvement,Achieve process improvement target for the period,12-05-2021,12/03/2022,972150.92,,60.4%,N/A,Q4 2023,PROCUREMENT,high
GOAL780502,EMP014184,Process Improvement,Achieve process improvement target for the period,03 Jul 2023,17 Nov 2023,694285.66,440924.6,63.5%,Completed,Q2 2022,admin,
GOAL342553,EMP003959,Process Improvement,Achieve process improvement target for the period,"October 24, 2022",2023-03-24,302901.59,342639.79,113.1%,Completed,2022 Q1,Slaes,High
GOAL683239,EMP001724,CUSTOMER SATISFACTION,Achieve customer satisfaction target for the period,2021/10/24,,170335.09,207658.1,121.9%,overdue,Q2 2023,Engineering,LOW
GOAL880055,EMP017793,Productivity,Achieve productivity target for the period,2021-10-14,2022/02/08,842348.61,,109.6%,overdue,2023-Q3,Finance,High
GOAL654705,EMP923210,Compliance,Achieve compliance target for the period,"August 24, 2023",2023-10-10,504689.26,297480.64,58.9%,overdue,Q2-2023,Eng,High
GOAL172414,EMP013948,Training Completion,Achieve training completion target for the period,08-18-2021,,483528.67,326940.24,67.6%,Overdue,Q1 2021,OPERATIONS,
GOAL245087,EMP011049,Revenue Growth,Achieve revenue growth target for the period,12-28-2022,06-10-2023,850953.31,792438.12,93.1%,In Progress,Q4 2023,Operatons,N/A
GOAL986519,EMP001994,Cost Reduction,Achieve cost reduction target for the period,21 Jul 2023,"November 22, 2023",133216.85,104972.39,78.8%,N/A,Q3 2021,MARKETING,Medium
GOAL390992,EMP011393,Compliance,Achieve compliance target for the period,"June 23, 2021",10-31-2021,612570.46,424135.94,69.2%,cancelled,Q3 2021,r&d,MEDIUM
GOAL560683,EMP017158,Sales Target,Achieve sales target target for the period,2022-02-10,25 May 2022,176200.74,110727.43,62.8%,N/A,Q2 2022,Information Technology,High
GOAL799031,EMP012115,Revenue Growth,Achieve revenue growth target for the period,22 Aug 2022,"November 21, 2022",993609.18,746562.01,75.1%,In Progress,Q2 2024,I.T.,MEDIUM
GOAL850226,EMP002242,Sales Target,Achieve sales target target for the period,2021-04-21,2021-09-17,436428.63,192906.05,44.2%,overdue,Q3 2022,Legal,Medium
GOAL318130,EMP006857,Innovation,Achieve innovation target for the period,2023-05-01,10-11-2023,407258.1,553227.52,135.8%,Overdue,Q1 2022,R&D,LOW
GOAL586257,EMP018870,Project Delivery,Achieve project delivery target for the period,25/10/2023,2023/12/05,89936.0,122546.0,136.3%,,Q1 2023,Sale,high
GOAL495860,EMP001234,TRAINING COMPLETION,Achieve training completion target for the period,03-19-2023,04-28-2023,997746.28,1241977.16,124.5%,cancelled,Q12022,Eng,MEDIUM
GOAL840275,EMP016362,Quality Improvement,Achieve quality improvement target for the period,"April 25, 2022","August 14, 2022",851078.51,993936.85,116.8%,Cancelled,Q3 2022,RnD,LOW
GOAL835863,EMP004983,Sales Target,Achieve sales target target for the period,05/05/2023,12/06/2023,250703.3,241601.1,96.4%,N/A,Q3 2024,IT,
GOAL658113,EMP012828,Team Building,Achieve team building target for the period,2021-07-06,2021/11/09,323643.36,423641.71,130.9%,Cancelled,2022 Q1,operations,Low
GOAL237748,EMP014313,Training Completion,Achieve training completion target for the period,2022-03-11,"June 21, 2022",680387.87,535985.01,78.8%,Overdue,Q4 2021,Fiance,High
GOAL779674,EMP002472,INNOVATION,Achieve innovation target for the period,29 Jan 2022,"May 11, 2022",93636.22,99789.04,106.6%,cancelled,Q1 2024,Engineering,N/A
GOAL969410,EMP018643,SALES TARGET,Achieve sales target target for the period,2022-05-17,29/06/2022,992240.79,1198844.23,120.8%,In Progress,Q2 2023,customer support,N/A
GOAL293049,EMP015198,Cost Reduction,Achieve cost reduction target for the period,"July 23, 2023","December 28, 2023",820729.52,848003.56,103.3%,completed,Q1 2022,Enginering,Low
GOAL209606,EMP016385,Quality Improvement,Achieve quality improvement target for the period,2022-05-22,,470567.99,201826.77,42.9%,completed,q3 2022,CS,
GOAL923626,EMP009887,Cost Reduction,Achieve cost reduction target for the period,"March 20, 2023",2023-08-05,108167.4,107423.41,99.3%,Overdue,Q2 2021,Fiance,high
GOAL715811,EMP017979,Compliance,Achieve compliance target for the period,09/01/2023,2023-06-27,740282.54,969690.08,131.0%,cancelled,Q2 2021,Operatons,LOW
GOAL302265,EMP015685,Team Building,Achieve team building target for the period,06/01/2021,07 Apr 2021,458092.37,233231.65,50.9%,In Progress,,RnD,MEDIUM
GOAL188525,EMP011787,Team Building,Achieve team building target for the period,2022/08/14,,572600.41,541897.02,94.6%,In Progress,2022 Q1,Legel,N/A
GOAL501275,EMP001541,Revenue Growth,Achieve revenue growth target for the period,19/11/2023,,768683.48,443665.66,57.7%,In Progress,Q1 2023,ADMIN,high
GOAL471199,EMP007434,Compliance,Achieve compliance target for the period,26/07/2021,"November 30, 2021",810708.12,831415.8,102.6%,In Progress,Q3 2024,Human Resources,MEDIUM
GOAL946952,EMP006538,Revenue Growth,Achieve revenue growth target for the period,07/09/2023,24 Nov 2023,534508.32,494747.4,92.6%,N/A,Q1 2022,Administraton,LOW
GOAL618031,EMP004161,Customer Satisfaction,,10-19-2021,"January 24, 2022",508621.3,176253.48,34.7%,In Progress,Q3 2023,Marketing,MEDIUM
GOAL860590,EMP010737,Sales Target,Achieve sales target target for the period,"March 14, 2021","June 24, 2021",740784.22,374572.1,50.6%,overdue,Q2 2023,SALES,N/A
GOAL521423,EMP019529,Process Improvement,Achieve process improvement target for the period,14 Apr 2023,2023-07-07,696268.45,214548.64,30.8%,completed,Q3 2023,Operatons,
GOAL237339,EMP018420,REVENUE GROWTH,Achieve revenue growth target for the period,07-26-2022,2022/12/02,959089.88,265167.14,27.6%,Overdue,Q3 2024,Law,high
GOAL219418,EMP004166,Innovation,,2022/01/02,02-21-2022,266448.91,258732.89,97.1%,Cancelled,Q3 2023,legal,
GOAL248733,EMP010572,Sales Target,,20/10/2023,2023/12/13,274552.27,326293.73,118.8%,Cancelled,2022 Q1,it,
GOAL927628,EMP010424,Team Building,Achieve team building target for the period,09-04-2022,10 Oct 2022,741079.4,375483.9,50.7%,overdue,Q2 2023,Eng,N/A
GOAL475520,EMP010074,Skill Development,Achieve skill development target for the period,2022/08/23,"January 19, 2023",178638.01,95779.32,53.6%,N/A,Q4 2023,Fin,high
GOAL379887,EMP012102,Skill Development,Achieve skill development target for the period,02/02/2023,27/05/2023,84747.47,86272.21,101.8%,Cancelled,Q1 2023,operations,Low
