review_id,employee_id,review_period,review_date,reviewer_id,performance_score,rating_label,goals_achieved_pct,communication_score,teamwork_score,leadership_score,technical_score,comments,department,created_at
REV478342,EMP019496,Q4 2022,12-13-2023,EMP014289,2.8,Average,84%,4.9,2.5,4.8,1.0,Reliable and dedicated,Finance,13 Dec 2023
REV653591,EMP000448,Q3 2022,13 Feb 2023,EMP003871,"""1.8""",AVG,30%,2.1,2.0,3.0,4.7,Great team player,Ops,2023-02-13
REV246868,EMP016856,Q1 2022,2021-07-27,EMP013566,1.5,4 - Good,77%,4.2,4.2,3.4,1.1,Struggles with deadlines,H.R.,27 Jul 2021
REV203036,EMP012679,Q3 2021,"March 20, 2022",EMP009505,2.3,4-Good,33%,1.3,1.9,1.8,1.3,,R&D,20/03/2022
REV251188,EMP006478,Q2 2023,06 Jan 2023,EMP006941,2.7,AVG,49%,4.3,1.5,2.3,4.0,NEEDS IMPROVEMENT,it,2023/01/06
REV836378,EMP016215,Q22022,2022/09/01,EMP010555,2.3,3 - Average,67%,1.7,4.3,,3.6,Exceeded expectations,Procurment,01/09/2022
REV416595,EMP016778,Q1 2024,2022/07/13,EMP016057,3.4,Good,35%,2.4,3.7,1.7,2.5,Struggles with deadlines,Operations,07-13-2022
REV301611,EMP007245,Q1 2022,"June 24, 2024",EMP014613,2.6,AVG,25%,1.7,3.3,2.6,4.3,Consistent results,Marketing,"June 24, 2024"
REV801577,EMP011689,Q2 2021,2022-12-13,EMP004087,1.4,average,91%,4.5,,2.9,3.6,Exceeded expectations,customer support,13 Dec 2022
REV421246,EMP001688,Q2 2023,01-26-2022,EMP003397,3.6,below average,42%,4.7,3.2,1.1,4.8,needs improvement,Sales,2022-01-26
REV266591,EMP004066,Q32024,16 Sep 2022,EMP009476,1.8,Below Avg,24%,1.5,3.4,1.9,4.5,Shows initiative,Fiance,09-16-2022
REV607608,EMP003947,Q2 2022,11-07-2023,EMP008756,3.9,4 - Good,59%,2.1,4.5,4.5,4.1,Room for growth,CS,2023-11-07
REV626556,EMP006939,Q1 2022,12-11-2021,EMP018433,2.9,Excellent,65%,1.7,3.5,,3.2,,Admin,12-11-2021
REV709343,EMP014975,Q4 2022,2021-11-01,EMP013077,1.4,3-Avg,31%,4.8,2.9,4.9,1.2,Consistent results,SALES,11-01-2021
REV381124,EMP015590,Q4 2021,07 Nov 2023,EMP007411,3.0,good,36%,2.7,,3.8,1.8,needs improvement,Humaan Resources,07 Nov 2023
REV429401,EMP017364,Q3 2023,18 May 2023,,4.5,Below Average,26%,2.0,1.2,1.2,1.4,Reliable and dedicated,Procurement,05-18-2023
REV203631,EMP009324,Q2 2023,2024/04/05,EMP006974,2.2,Good,47%,1.9,3.7,4.4,4.0,Meets expectations,Operations,04-05-2024
REV210915,EMP003825,Q2 2023,2021/03/10,,3.5,3 - Average,41%,3.4,4.7,1.3,4.7,Struggles with deadlines,Mktg,10 Mar 2021
REV214556,EMP017126,Q1 2023,06-30-2023,EMP010098,1.3,1-Poor,67%,1.2,,2.1,3.3,Struggles with deadlines,Finance,30 Jun 2023
REV131472,EMP002026,Q2 2021,14/05/2022,EMP009742,1.4,Average,43%,3.5,2.3,4.8,2.2,Good performer,Engineerng,05-14-2022
REV429175,EMP015071,Q3 2023,14 Dec 2022,EMP008680,3.2 ,good,88%,,4.9,1.1,2.8,Excellent communicator,Human Resource,14/12/2022
REV599525,EMP005246,Q3 2022,2021-01-22,EMP002531,4.1,3-Avg,74%,4.9,1.8,1.6,2.5,Struggles with deadlines,Research & Dev,"January 22, 2021"
REV553125,EMP001227,Q4 2023,2023-05-20,EMP019964,2.8,1-Poor,,,4.6,4.6,3.5,Reliable and dedicated,Operations,"May 20, 2023"
REV561503,EMP008650,Q3 2024,23 Feb 2022,EMP016434,4.3,AVG,31%,3.1,4.1,2.8,,needs improvement,Human Resource,2022/02/23
REV740472,EMP018506,Q2 2022,27/05/2024,EMP011091,2.0,4-Good,45%,4.7,4.0,2.9,2.5,NEEDS IMPROVEMENT,Fin,27 May 2024
REV398406,EMP014036,Q1 2022,"January 16, 2023",EMP001488,3.1,Average,91%,,1.8,4.6,2.2,Excellent communicator,Customer Support,2023-01-16
REV799509,EMP933565,Q4 2022,05/09/2023,EMP006254,1.1,Excellent,30%,4.7,3.2,2.6,4.5,Room for growth,it,05 Sep 2023
REV598996,EMP007509,Q4 2023,20/06/2024,EMP002252,3.4,GOOD,60%,3.2,4.5,1.2,4.9,consistent results,Procurement,20 Jun 2024
REV757926,EMP017278,Q2 2022,2023-12-02,EMP008417,4.6,BELOW AVG,24%,2.3,3.0,3.0,1.9,Consistent results,Slaes,02 Dec 2023
REV786813,EMP018570,Q3 2022,2022/02/18,EMP008336,3.3,below average,,1.6,4.3,3.7,,Needs improvement,Ops,"February 18, 2022"
REV271889,EMP018237,Q3 2021,2024/08/11,EMP005426,3.4,AVG,78%,3.9,1.2,3.1,5.0,Excellent communicator,Research & Dev,2024-08-11
REV424355,EMP010347,Q3 2021,05 Jun 2022,EMP004115,2.8,good,67%,1.3,2.8,3.2,4.8,Great team player,HR,05/06/2022
REV425635,EMP001154,Q4 2021,02 Mar 2024,EMP010582,2.7,GOOD,40%,4.4,2.7,4.5,4.3,Great team player,Marketting,2024/03/02
REV908518,EMP012034,Q1 2023,2021-04-19,EMP008667,2.9,1 - Poor,79%,2.0,3.5,3.9,4.6,Room for growth,Procurment,04-19-2021
REV258060,EMP014442,Q4 2021,14 Sep 2023,EMP003781,2.0,4 - Good,56%,2.8,1.3,,,Needs improvement,Mktg,2023/09/14
REV629219,EMP000807,Q1 2021,22 Sep 2023,EMP004282,1.5,Average,77%,1.9,1.6,3.2,4.7,Room for growth,RnD,22 Sep 2023
REV638839,EMP017877,Q2 2021,27/12/2021,EMP003020,1.3,Good,43%,1.3,1.5,3.1,3.9,Needs improvement,ADMIN,2021-12-27
REV594961,EMP005943,Q1 2022,2024-07-15,EMP002775,1.7,4-Good,75%,2.9,4.0,4.3,4.3,Good performer,Research & Dev,07-15-2024
REV207654,EMP003261,Q22024,"August 16, 2024",EMP015219,4.2,Good,97%,4.2,2.1,3.2,1.3,Exceeded expectations,human resources,08-16-2024
REV173941,EMP013976,Q4 2023,10/01/2022,EMP008463,4.5,AVG,,3.9,2.8,1.5,4.6,Needs improvement,Human Resources,01-10-2022
REV159022,EMP001650,Q3 2021,"July 16, 2024",EMP008859,4.3,average,65%,2.5,3.6,,4.4,Exceeded expectations,ENGINEERING,16 Jul 2024
REV762165,EMP012429,Q3 2021,2022/07/14,EMP017328,,Average,45%,3.3,3.1,2.2,,needs improvement,Enginering,07-14-2022
REV858066,EMP016601,Q1 2022,2024-01-19,EMP009060,1.3,Excellent,57%,1.9,3.3,2.5,3.4,EXCEEDED EXPECTATIONS,Information Technology,19/01/2024
REV775450,EMP010372,Q1 2023,"April 18, 2021",EMP003238,"""3.9""",3 - Average,65%,4.6,2.5,3.6,3.8,N/A,Slaes,04-18-2021
REV927970,EMP000533,Q2 2021,"March 26, 2021",EMP019929,3.6,3-Avg,59%,1.3,,2.2,1.4,Exceeded expectations,MARKETING,"March 26, 2021"
REV239506,EMP002461,Q1 2021,13/04/2021,EMP007150,3.5,2-Below Average,97%,1.7,4.2,2.2,4.6,NEEDS IMPROVEMENT,it,"April 13, 2021"
REV443811,EMP016738,Q2 2024,26/02/2023,EMP010395,1.6,4 - Good,86%,4.7,4.9,1.3,1.3,Struggles with deadlines,CS,2023/02/26
REV243042,EMP000221,Q4 2021,01-16-2021,EMP008888,4.2,BELOW AVG,,3.2,3.8,2.4,2.0,NEEDS IMPROVEMENT,Sale,16/01/2021
REV751965,EMP000255,Q2 2024,2021/06/09,,4.3,average,43%,,2.2,2.9,,Excellent communicator,ENGINEERING,09 Jun 2021
REV582038,EMP019801,Q1 2022,2021/12/28,EMP006986,4.6,good,56%,,4.0,1.1,4.7,NEEDS IMPROVEMENT,Marketting,2021-12-28
REV833055,EMP005576,Q3 2022,2024/06/12,EMP011825,,below average,41%,1.8,2.9,1.8,4.0,Excellent communicator,Mktg,2024-06-12
REV255118,EMP003684,Q1 2023,2024-07-30,EMP019235,4.4,3 - Average,77%,3.7,1.1,1.2,2.7,EXCEEDED EXPECTATIONS,marketing,07-30-2024
REV654699,EMP012071,Q2 2022,2023/04/14,,3.6,Average,93%,2.8,4.3,1.0,2.3,NEEDS IMPROVEMENT,Marketting,14 Apr 2023
REV549434,EMP009921,Q3 2022,"June 18, 2023",EMP012448,4.0,4-Good,93%,4.6,,4.6,5.0,Meets expectations,Customer Support,06-18-2023
REV341670,EMP010077,Q3 2024,2021-06-15,EMP008153,5.0,4 - Good,67%,4.5,3.9,2.1,,good performer,Marketting,2021-06-15
REV243244,EMP012495,Q3 2024,2021/01/21,EMP012620,2.9,Good,,3.4,4.4,4.6,4.4,Excellent communicator,operations,2021-01-21
REV230068,EMP009236,Q3 2023,"March 16, 2023",EMP015735,3.8,GOOD,32%,3.8,,2.6,4.8,needs improvement,I.T.,16 Mar 2023
REV712687,EMP005208,Q4 2021,29 Nov 2023,EMP007369,,3-Avg,36%,1.1,3.2,1.6,4.1,Needs improvement,FINANCE,29 Nov 2023
REV202451,EMP019518,Q2 2023,2023/11/05,EMP006142,2.6,3 - Average,79%,2.9,4.9,1.7,2.4,NEEDS IMPROVEMENT,Legal,2023-11-05
REV299570,EMP010997,Q2 2022,2022/12/01,EMP003435,2.7,AVG,55%,2.5,3.9,1.9,2.2,N/A,admin,2022/12/01
REV847434,EMP018839,Q4 2021,"December 19, 2023",EMP015084,2.8,AVG,31%,1.3,4.3,4.0,2.0,Excellent communicator,customer support,19 Dec 2023
REV987202,EMP002967,Q3 2023,16 Nov 2021,EMP012543,1.7,3-Avg,36%,3.8,1.8,3.9,3.3,consistent results,FINANCE,2021-11-16
REV645459,EMP014252,Q2 2021,20 Feb 2024,EMP004847,4.8,1-Poor,84%,4.6,4.8,4.5,1.3,Struggles with deadlines,Sales,2024-02-20
REV959401,EMP008161,Q1 2024,2024/07/20,,,average,82%,3.3,1.6,2.3,4.9,Struggles with deadlines,Marketting,20/07/2024
REV426314,EMP009786,Q1 2023,"May 25, 2022",EMP014350,1.4 ,GOOD,25%,3.6,4.8,1.4,1.4,Great team player,OPERATIONS,25/05/2022
REV575015,EMP948404,Q3 2022,12-23-2021,EMP006595,4.7,average,56%,2.3,1.6,3.0,3.7,Struggles with deadlines,Operatons,2021-12-23
REV555853,EMP019130,Q3 2021,16 Feb 2023,EMP011189,2.7,Average,64%,3.9,4.2,3.5,1.3,Meets expectations,MARKETING,16/02/2023
REV796748,EMP000530,Q2 2023,24 Mar 2022,EMP001567,4.2,Good,76%,4.2,3.4,4.9,1.4,good performer,Proc,2022/03/24
REV287052,EMP007830,Q1 2021,31/10/2021,EMP006356,3.3,Good,24%,3.0,2.4,2.1,1.5,,r&d,2021/10/31
REV356979,EMP017098,Q2 2022,"July 21, 2022",EMP005721,4.5,4 - Good,90%,,2.7,4.6,4.5,,Marketting,2022-07-21
REV254659,EMP002354,Q4 2022,02-08-2023,EMP001016,1.5,5 - Excellent,84%,4.7,2.8,3.7,2.2,Meets expectations,it,08/02/2023
REV943518,EMP003069,Q1 2023,2023/10/25,EMP012985,2.9,GOOD,21%,3.0,3.1,,3.9,Exceeded expectations,Cust Support,25/10/2023
REV183418,EMP018250,Q4 2021,08-20-2022,EMP000322,3.4,3 - Average,41%,1.7,2.1,2.7,,,Human Resource,20 Aug 2022
REV212569,EMP006848,Q1 2023,12-04-2023,EMP008164,1.4,5 - Excellent,59%,2.2,,3.7,1.3,Struggles with deadlines,admin,"December 04, 2023"
REV162173,EMP008542,Q3 2022,"July 26, 2024",EMP016911,4.1,AVG,66%,2.9,1.5,1.3,4.9,Exceeded expectations,engineering,"July 26, 2024"
REV697441,EMP018479,Q2 2024,2024/07/27,EMP006168,4.3,Below Average,83%,2.5,,3.6,2.8,N/A,ENGINEERING,2024-07-27
REV817268,EMP013800,Q4 2022,2024/09/27,EMP001259,4.7,Excellent,65%,1.4,2.4,2.3,2.0,,CS,2024-09-27
REV375799,EMP004333,Q2 2021,2023/05/26,EMP010055,3.6,Below Average,30%,2.6,4.5,2.0,4.3,good performer,Engineerng,05-26-2023
REV774045,EMP007409,Q3 2021,08 Aug 2023,EMP016486,,4-Good,87%,1.6,2.4,4.4,3.2,EXCEEDED EXPECTATIONS,Marketting,08/08/2023
REV549308,EMP019950,Q3 2024,25 Jul 2024,EMP010578,1.7,AVG,41%,1.7,3.7,1.0,4.7,Great team player,Legel,2024/07/25
REV761192,EMP004634,Q1 2021,06-23-2021,EMP002883,,4 - Good,95%,1.8,4.4,3.1,4.8,Needs improvement,H.R.,2021/06/23
REV371975,EMP006268,Q3 2022,07-10-2022,EMP019696,1.2,average,92%,2.1,3.8,2.5,3.2,Outstanding leadership,Ops,2022/07/10
REV951974,EMP001144,Q1 2021,"April 16, 2021",EMP001444,3.2,GOOD,38%,3.9,4.1,,4.6,Room for growth,MARKETING,16 Apr 2021
REV974010,EMP013538,Q4 2022,24/08/2022,,2.8,4 - Good,43%,4.1,1.5,,5.0,Excellent communicator,FINANCE,24/08/2022
REV329693,EMP018937,Q1 2023,19 Jan 2023,,1.5,4 - Good,66%,4.0,3.7,2.2,2.6,N/A,Operations,01-19-2023
REV825837,EMP006768,Q2 2024,12 May 2023,EMP009879,4.4,GOOD,,4.8,4.1,,3.9,N/A,Legel,12 May 2023
REV223166,EMP003832,Q3 2023,19 Sep 2021,EMP003022,2.9,Good,48%,3.0,3.3,4.7,2.2,Consistent results,Legel,19/09/2021
REV818625,EMP014210,Q2 2021,"March 11, 2021",EMP019978,"""1.4""",1-Poor,,1.5,,3.9,2.9,good performer,ADMIN,2021/03/11
REV692672,EMP015674,Q3 2021,01/04/2024,EMP013568,1.1,5 - Excellent,,3.4,4.3,1.6,2.2,Excellent communicator,Legal,"April 01, 2024"
REV457088,EMP007009,Q4 2023,2022/11/03,EMP006349,"""4.1""",Average,85%,4.1,1.5,3.2,4.4,Exceeded expectations,Ops,11-03-2022
REV263074,EMP008914,Q2 2021,2021/03/11,EMP018468,2.3,Excellent,87%,2.2,4.0,3.7,2.4,Exceeded expectations,OPERATIONS,"March 11, 2021"
REV720545,EMP018835,Q3 2021,11/02/2023,EMP008400,2.5,below average,67%,4.5,4.0,,1.4,Outstanding leadership,LEGAL,"February 11, 2023"
REV476934,EMP009360,Q1 2022,08-22-2021,EMP018084,1.0,4-Good,,1.2,4.8,,2.1,Great team player,Mktg,"August 22, 2021"
REV312863,EMP017015,Q3 2022,06 Sep 2024,EMP015489,3.8 ,Average,67%,4.0,3.6,1.6,,Good performer,marketing,06/09/2024
REV883890,EMP010855,Q4 2023,18 Jun 2022,EMP010870,3.6,good,80%,3.9,2.8,2.4,3.8,Room for growth,Legal,18/06/2022
REV693134,EMP013080,Q1 2021,18/12/2021,EMP019904,3.4 ,below average,35%,3.4,4.2,1.8,4.7,NEEDS IMPROVEMENT,FINANCE,18 Dec 2021
REV721792,EMP018693,Q4 2022,03-24-2024,EMP005614,"""4.6""",Average,75%,3.4,4.5,1.8,1.8,,Administraton,2024-03-24
REV141234,EMP008079,Q2 2021,18/10/2022,EMP010339,3.2,3-Avg,,2.7,4.9,,1.3,needs improvement,Engineering,18/10/2022
REV483031,EMP004572,Q4 2021,18 May 2024,,4.2 ,Average,32%,2.2,4.5,1.3,2.0,,Sale,2024-05-18
REV876653,EMP014464,Q4 2021,17 Jul 2023,,1.3 ,5-Excellent,52%,3.0,2.6,4.6,3.4,good performer,Sales,2023-07-17
REV219020,EMP019499,Q3 2024,2022-04-04,EMP005647,4.6,excellent,31%,3.6,4.5,4.1,3.6,,Customer service,04/04/2022
REV432038,EMP013903,Q3 2021,"July 16, 2021",EMP011100,4.9,4 - Good,21%,,3.1,3.7,4.3,N/A,Engineerng,16/07/2021
REV301615,EMP007943,Q4 2023,"July 18, 2022",EMP000326,4.2,Excellent,80%,2.1,1.2,,4.2,consistent results,sales,"July 18, 2022"
REV162840,EMP017746,Q3 2022,"April 26, 2022",EMP010478,4.6,GOOD,38%,1.7,2.5,1.3,2.7,Excellent communicator,Engineering,"April 26, 2022"
REV367115,EMP010325,Q3 2024,2021-07-07,EMP017958,1.2 ,2-Below Average,99%,2.8,2.5,3.6,2.5,Meets expectations,Customer Support,2021-07-07
REV725889,EMP003792,Q1 2023,"September 02, 2023",EMP003034,3.2,3 - Average,31%,4.5,3.8,3.1,3.9,Exceeded expectations,Info Tech,2023/09/02
REV802201,EMP009232,Q42021,"April 26, 2023",EMP011312,4.6,good,39%,3.9,2.4,2.6,3.3,Good performer,Engineering,"April 26, 2023"
REV690880,EMP007622,Q3 2024,30 May 2023,EMP015285,2.0,Good,,4.3,4.9,4.3,2.3,needs improvement,it,2023/05/30
REV733675,EMP004825,Q2 2021,2022/02/21,EMP003523,2.0,Below Average,90%,2.9,1.3,1.9,3.5,Excellent communicator,Info Tech,21 Feb 2022
REV410165,EMP019004,Q2 2021,10-08-2022,EMP011543,4.0 ,1 - Poor,72%,4.5,2.3,2.6,4.7,Excellent communicator,Customer service,10-08-2022
REV694816,EMP012963,Q42021,05-28-2021,,3.8,4 - Good,39%,2.9,4.1,4.3,2.7,Outstanding leadership,operations,2021/05/28
REV124471,EMP011345,Q1 2022,05-02-2021,EMP004418,4.3,BELOW AVG,76%,3.4,,4.2,3.7,good performer,Engineerng,2021-05-02
REV699004,EMP010352,Q12022,10-03-2023,EMP003286,2.0,good,78%,1.4,1.5,4.6,1.5,Excellent communicator,Operatons,10-03-2023
REV823964,EMP018675,Q2 2023,2022/03/29,EMP014098,1.3,POOR,99%,3.2,2.2,4.1,2.1,EXCEEDED EXPECTATIONS,admin,2022-03-29
REV102637,EMP011103,Q1 2023,27 Feb 2023,EMP016797,3.5,AVG,,2.3,1.9,4.6,1.9,Great team player,procurement,27 Feb 2023
REV472575,EMP003466,Q3 2021,2023-03-26,EMP001255,1.5,Good,95%,2.6,3.9,1.5,2.6,,Legel,26 Mar 2023
REV441508,EMP012924,Q4 2021,2023-05-28,EMP012374,4.3 ,Below Avg,37%,4.4,1.8,4.2,2.3,Consistent results,OPERATIONS,2023/05/28
REV555274,EMP000853,Q1 2021,2022/08/06,EMP006418,2.8,4-Good,31%,1.4,3.4,3.1,1.4,Great team player,Marketting,"August 06, 2022"
REV600614,EMP002661,Q2 2023,"January 18, 2022",EMP009302,2.5,GOOD,20%,4.0,3.7,3.2,2.1,Room for growth,Fin,01-18-2022
REV413932,EMP015416,Q4 2023,2022-04-09,EMP008974,1.4,EXCELLENT,34%,3.4,3.0,3.9,4.2,EXCEEDED EXPECTATIONS,HR,09 Apr 2022
REV238442,EMP944596,Q2 2021,09 Dec 2021,EMP001542,3.9,Below Avg,70%,2.7,3.5,2.0,3.6,Struggles with deadlines,marketing,2021/12/09
REV306353,EMP013870,Q3 2024,2021-08-31,EMP013316,3.2,excellent,81%,3.5,3.8,3.1,1.9,Excellent communicator,Administration,2021/08/31
REV682138,EMP006478,Q32023,03 May 2023,EMP019981,,EXCELLENT,36%,1.7,3.6,3.6,4.0,Struggles with deadlines,Procurment,"May 03, 2023"
REV952032,EMP009195,Q3 2024,03-30-2021,EMP015684,2.0 ,average,26%,1.1,2.8,4.2,4.6,,Procurment,2021-03-30
REV399119,EMP010338,Q2 2024,2024-09-20,,1.2,AVG,95%,2.2,2.0,4.0,1.4,NEEDS IMPROVEMENT,Marketing,09-20-2024
REV406874,EMP011504,Q1 2022,2023-01-08,EMP001195,,good,29%,1.4,3.1,2.5,3.2,Excellent communicator,Ops,01-08-2023
REV575052,EMP018621,Q42021,"November 08, 2021",EMP019701,3.9,Below Average,76%,2.1,1.7,2.4,1.3,Struggles with deadlines,operations,2021-11-08
REV446898,EMP009278,Q1 2024,2023/01/17,EMP003571,2.8,Excellent,26%,1.8,3.8,1.9,1.9,EXCEEDED EXPECTATIONS,r&d,17 Jan 2023
REV328360,EMP002875,Q4 2023,2022-07-27,EMP016931,2.7,5-Excellent,45%,4.9,1.3,3.0,1.8,needs improvement,FINANCE,"July 27, 2022"
REV588856,EMP009510,Q3 2024,07 May 2023,EMP001108,4.8,5 - Excellent,44%,2.2,3.2,4.5,,good performer,Legel,2023/05/07
REV283704,EMP011724,Q2 2023,13/10/2021,EMP001316,"""1.4""",5 - Excellent,37%,3.2,1.2,2.2,1.2,Outstanding leadership,Fin,13 Oct 2021
REV921885,EMP016814,Q1 2021,13/03/2021,EMP004129,2.5,average,21%,2.1,,1.7,2.5,needs improvement,FINANCE,2021/03/13
REV588624,EMP014542,Q4 2023,"June 25, 2024",EMP009949,2.6,EXCELLENT,69%,3.8,4.8,4.7,1.3,Reliable and dedicated,Operatons,"June 25, 2024"
REV176481,EMP018629,Q4 2023,2024/08/28,EMP011684,,AVG,46%,3.8,3.5,3.8,4.2,Struggles with deadlines,engineering,08-28-2024
REV248203,EMP019179,Q3 2022,"February 21, 2022",,1.4,5-Excellent,55%,4.5,4.8,1.7,3.2,Outstanding leadership,Fiance,2022/02/21
REV421236,EMP004291,Q2 2024,11 Oct 2022,EMP015099,3.5,Excellent,95%,5.0,1.9,2.2,4.1,Consistent results,engineering,"October 11, 2022"
REV189428,EMP017824,Q4 2021,"January 11, 2023",EMP014751,,5-Excellent,,1.8,4.6,,3.1,good performer,Fiance,2023/01/11
REV130083,EMP006338,Q1 2024,2023-05-23,EMP001260,3.4,POOR,29%,4.7,3.8,3.4,3.6,NEEDS IMPROVEMENT,customer support,23/05/2023
REV635606,EMP018630,Q1 2021,14 Sep 2023,EMP003203,4.6,EXCELLENT,82%,3.9,4.9,1.5,1.1,consistent results,Sales,09-14-2023
REV656033,EMP016402,Q1 2023,"January 01, 2024",EMP001707,1.2,4 - Good,49%,2.3,1.1,1.3,2.8,,Administraton,2024/01/01
REV839244,EMP003362,Q4 2023,24 Aug 2022,EMP003439,3.4,good,72%,1.3,4.9,2.6,4.6,Exceeded expectations,Research & Dev,2022-08-24
REV479051,EMP015743,Q42022,03-22-2023,EMP008505,4.0,average,83%,1.8,1.8,4.7,4.0,,engineering,22 Mar 2023
REV867907,EMP013553,Q2 2022,07-28-2024,EMP010012,1.9,good,39%,3.7,3.5,3.5,2.9,Excellent communicator,Operatons,2024-07-28
REV333031,EMP005234,Q1 2023,24/11/2021,EMP005530,1.0,4-Good,55%,3.9,1.6,1.7,4.4,Outstanding leadership,human resources,11-24-2021
REV658398,EMP005049,Q3 2021,2024-02-23,EMP016434,3.7 ,AVG,84%,,3.5,2.2,4.8,needs improvement,Sale,02-23-2024
REV507719,EMP011199,Q2 2022,03/08/2021,EMP009969,,4 - Good,55%,4.8,3.0,,1.6,Meets expectations,Legel,"August 03, 2021"
REV491804,EMP004715,Q1 2021,17/07/2022,EMP007235,4.1,Average,77%,1.3,2.3,4.7,5.0,Outstanding leadership,Legal,2022-07-17
REV557898,EMP008354,Q4 2023,2021-05-12,EMP015483,3.1,3 - Average,78%,,2.1,4.9,3.8,Excellent communicator,Research & Dev,2021-05-12
REV500625,EMP001374,Q4 2021,09-04-2021,EMP005531,2.3,EXCELLENT,21%,1.9,1.2,2.9,4.2,Shows initiative,Customer Support,"September 04, 2021"
REV943091,EMP010176,Q1 2023,2022/12/24,EMP018372,1.4,excellent,36%,4.9,3.3,3.9,2.0,,Research and Development,24 Dec 2022
REV158355,EMP003722,Q2 2021,07/05/2021,EMP000659,3.2,below average,50%,1.3,4.9,,2.8,NEEDS IMPROVEMENT,Administraton,07 May 2021
REV580907,EMP001921,Q2 2023,2022/09/18,EMP011335,3.6,Good,99%,4.7,2.6,1.1,1.9,Needs improvement,Marketing,18 Sep 2022
REV567764,EMP005919,Q3 2021,31 Dec 2021,EMP010874,4.9,GOOD,37%,,2.7,2.7,2.4,Meets expectations,Cust Support,"December 31, 2021"
REV812746,EMP919612,Q22021,15 Jul 2022,EMP007718,"""1.3""",Good,61%,,1.1,4.7,1.1,,Engineerng,15/07/2022
REV975811,EMP006002,Q1 2021,20/12/2023,,1.8,3-Avg,34%,2.1,1.3,3.2,2.5,good performer,finance,12-20-2023
REV921861,EMP000448,Q3 2021,04 Apr 2023,EMP008393,3.2,Below Average,88%,3.1,1.2,2.0,4.7,Great team player,Slaes,"April 04, 2023"
REV189308,EMP000152,Q1 2022,05-31-2022,EMP018003,,Good,,3.5,2.6,2.8,1.6,Needs improvement,marketing,"May 31, 2022"
REV766403,EMP009963,Q42023,05/07/2024,EMP003166,2.1,4 - Good,33%,3.5,3.9,1.3,3.2,Struggles with deadlines,Info Tech,"July 05, 2024"
REV840290,EMP002304,Q3 2024,21 Sep 2022,EMP011330,1.6,4-Good,74%,3.8,2.0,4.4,2.2,Consistent results,Ops,"September 21, 2022"
REV675848,EMP013154,Q3 2022,2021-10-20,EMP005675,3.7,Below Avg,87%,4.7,3.2,4.3,,Reliable and dedicated,Operations,"October 20, 2021"
REV485059,EMP010634,Q2 2021,2022/07/05,EMP014775,,Good,,1.3,2.6,3.0,2.8,Meets expectations,Legel,2022/07/05
REV898900,EMP003002,Q4 2023,2024/08/04,EMP013209,3.7,excellent,87%,1.6,3.8,4.7,4.8,Good performer,Sale,2024-08-04
REV445695,EMP017452,Q1 2023,"July 11, 2022",EMP019035,3.4 ,Below Avg,25%,3.5,3.9,,,Consistent results,H.R.,07-11-2022
REV744752,EMP015541,Q3 2023,06-22-2021,EMP015562,4.7,GOOD,59%,2.1,1.7,2.1,2.4,Meets expectations,Info Tech,22 Jun 2021
REV659813,EMP967665,Q1 2022,2021-05-09,EMP005741,2.9,5 - Excellent,31%,2.8,5.0,3.6,3.4,NEEDS IMPROVEMENT,Fiance,09 May 2021
REV271208,EMP003462,Q4 2021,"August 05, 2024",EMP000981,4.4,Below Average,,,4.8,4.6,,,Engineerng,2024/08/05
REV237358,EMP006698,Q3 2024,2021-04-08,EMP013790,3.0,1 - Poor,95%,2.4,1.5,1.3,,EXCEEDED EXPECTATIONS,legal,2021/04/08
REV175013,EMP011688,Q1 2021,2021/09/11,EMP009510,1.5,2-Below Average,66%,4.6,1.5,3.4,2.7,Reliable and dedicated,admin,11/09/2021
REV851679,EMP000673,Q1 2023,11/01/2021,,2.1,EXCELLENT,30%,1.6,1.8,,4.1,consistent results,OPERATIONS,2021-01-11
REV787839,EMP019024,Q1 2024,2022-11-09,EMP004631,3.9,Below Average,77%,4.5,1.5,3.6,1.7,Reliable and dedicated,Marketting,2022/11/09
REV652340,EMP005134,Q2 2021,2023-05-17,,3.3,good,27%,,4.7,1.4,4.6,Excellent communicator,marketing,17/05/2023
REV376530,EMP016094,Q1 2021,21/01/2023,EMP013540,4.2,Poor,75%,1.9,3.5,4.2,3.5,Great team player,Fin,2023/01/21
REV713779,EMP002204,Q3 2021,02-01-2021,EMP016935,1.5,Average,80%,2.0,1.7,3.6,4.6,Outstanding leadership,SALES,01/02/2021
REV405641,EMP010020,Q3 2021,19 May 2023,EMP016616,3.0,4-Good,49%,4.2,3.7,4.0,3.6,EXCEEDED EXPECTATIONS,Cust Support,2023-05-19
REV271409,EMP007040,Q1 2021,02-07-2021,EMP012584,3.1,4-Good,51%,1.0,1.5,4.2,3.7,N/A,Law,07 Feb 2021
REV801874,EMP013701,Q12024,"June 29, 2023",EMP011139,4.5,3 - Average,33%,4.6,2.9,3.3,3.8,EXCEEDED EXPECTATIONS,Legal,29/06/2023
REV711255,EMP007813,Q4 2022,"September 09, 2024",EMP008056,1.3,5 - Excellent,88%,3.2,2.5,4.7,1.3,Meets expectations,Sale,09-09-2024
REV342452,EMP008421,Q2 2021,15 Aug 2022,EMP010784,4.9,4 - Good,72%,2.5,1.3,2.7,4.9,Great team player,CS,15 Aug 2022
